activity	sp2
Stomachic	Abelmoschus moschatus/Abies spectabilis/Acacia farnesiana/Acanthospermum australe/Achyrocline satureioides/Acorus calamus/Actaea racemosa/Actaea spicata/Aegle marmelos/Aethusa cynapium/Agastache rugosa/Agathosma betulina/Agrimonia eupatoria/Ajuga retans/Akebia quinata/Alcea rosea/Aletris farinosa/Alisma plantago-aquatica/Allium cepa/Aloe vera/Aloysia citriodora/Aloysia citrodora/Alpinia galanga/Alpinia officinarum/Ambrosia peruviana/Amomum aromaticum/Amomum compactum/Andrographis paniculata/Anethum graveolens/Angelica archangelica/Angostura officinalis/Angostura trifoliata/Annona cherimola/Annona muricata/Annona squamosa/Apium graveolens/Aralia racemosa/Arctium lappa/Areca catechu/Aristolochia serpentaria/Aristolochia triangularis/Aristolochia trilobata/Artemisia absinthium/Artemisia dracunculus/Artemisia ludoviciana/Artemisia vulgaris/Arum maculatum/Asparagus racemosus/Aspidosperma excelsum/Atractylodes macrocephala/Ayapana triplinervis/Azadirachta indica/Baccharis articulata/Ballota nigra/Belamcanda chinensis/Berberis aristata/Blighia sapida/Boerhavia diffusa/Boswellia serrata/Brassica nigra/Brassica oleracea/Broussonetia papyrifera/Calea ternifolia/Calea zacatechichi/Calendula officinalis/Calotropis gigantea/Calotropis procera/Canavalia ensiformis/Cannabis sativa/Capsicum frutescens/Capsicum spp./Cardiospermum halicacabum/Carica papaya/Carlina acaulis/Carum carvi/Cassia fistula/Cayaponia tayuya/Celastrus paniculatus/Centaurium erythraea/Centella asiatica/Chamaemelum nobile/Chenopodium ambrosioides/Chromolaena odorata/Chrysanthemum x/Cicer arietinum/Cichorium intybus/Cinchona officinalis/Cinchona pubescens/Cinnamomum aromaticum/Cinnamomum tamala/Cinnamomum verum/Cissampelos pareira/Cissus verticillata/Citrus sinensis/Citrus x/Cnicus benedictus/Cochlearia officinalis/Cocos nucifera/Cola nitida/Cola spp./Collinsonia canadensis/Copaifera officinalis/Coptis spp./Cordia alliodora/Coriandrum sativum/Cornus florida/Crataegus spp./Crocus sativus/Croton eluteria/Cucumis melo/Cullen corylifolium/Cuminum cyminum/Curcuma longa/Curcuma xanthorrhiza/Curcuma zedoaria/Cuscuta americana/Cymbopogon citratus/Cyperus articulatus/Cyperus odoratus/Dioscorea bulbifera/Dipteryx odorata/Drimys winteri/Dysphania ambrosioides/Eclipta prostrata/Elettaria cardamomum/Ephedra gerardiana/Eryngium foetidum/Erysimum cheiri/Erythroxylum coca/Fallopia japonica/Ferula assa-foetida/Ferula gummosa/Ficus carica/Filipendula ulmaria/Foeniculum vulgare/Fumaria officinalis/Galium odoratum/Genipa americana/Geum rivale/Geum urbanum/Glechoma hederacea/Gloriosa superba/Gnaphalium uliginosum/Guazuma ulmifolia/Gymnema sylvestre/Heliotropium indicum/Hibiscus sabdariffa/Hibiscus syriacus/Holarrhena pubescens/Hordeum vulgare/Humulus lupulus/Hydrangea arborescens/Hydrastis canadensis/Hymenaea courbaril/Hyptis mutabilis/Hyptis verticillata/Hyssopus officinalis/Ilex guayusa/Illicium verum/Indigofera suffruticosa/Indigofera tinctoria/Inula helenium/Ipomoea purga/Jateorhiza palmata/Jatropha curcas/Juniperus Communis/Kaempferia galanga/Lansium domesticum/Lantana camara/Larix decidua/Laurus nobilis/Lavandula spp./Lepidium sativum/Levisticum officinale/Lippia alba/Lonicera japonica/Mammea americana/Mangifera indica/Maranta arundinacea/Marrubium vulgare/Marsdenia cundurango/Medicago sativa/Melaleuca leucadendra/Melia azedarach/Melissa officinalis/Menispermum canadense/Mentha canadensis/Mentha longifolia/Mentha spicata/Mentha x/Menyanthes trifoliata/Michelia champaca/Mikania guaco/Mirabilis jalapa/Momordica charantia/Morella cerifera/Morinda citrifolia/Moringa oleifera/Murraya koenigii/Myrica gale/Myristica fragrans/Myroxylon balsamum/Myrrhis odorata/Myrtus communis/Nardostachys grandiflora/Nepeta cataria/Neurolaena lobata/Nigella sativa/Ocimum basilicum/Ocimum campechianum/Ocimum tenuiflorum/Onopordum acanthium/Origanum vulgare/Oryza sativa/Panax ginseng/Passiflora ligularis/Passiflora quadrangularis/Perilla frutescens/Persea americana/Peucedanum ostruthium/Peumus boldus/Phellodendron amurense/Phyla dulcis/Phyla scaberrima/Phyllanthus emblica/Phyllanthus niruri/Picrama excelsa/Picrasma excelsa/Picrorhiza kurrooa/Pimenta dioica/Pimenta racemosa/Pimenta rece/Piper aduncum/Piper amalago/Piper auritum/Piper betle/Piper nigrum/Piper peltatum/Pistacia lentiscus/Platycladus orientalis/Pluchea sagittalis/Polygala amara/Populus sp./Prosopis juliflora/Prunella vulgaris/Prunus Laurocerasus/Punica granatum/Quassia amara/Ranunculus sceleratus/Raphanus sativus/Rheum australe/Rheum palmatum/Rosa centifolia/Rosmarinus officinalis/Ruellia tuberosa/Rumex acetosa/Rumex vesicarius/Ruta graveolens/Salvia officinalis/Salvia sclarea/Sambucus nigra/Sanguisorba officinalis/Santalum album/Santolina chamaecyparissus/Sarracenia purpurea/Satureja sp./Saussurea costus/Schinus molle/Schkuhria pinnata/Scoparia dulcis/Senna occidentalis/Sida acuta/Sida cordifolia/Sida rhombifolia/Simarouba glauca/Sinapis alba/Siparuna guianensis/Solanum lasiocarpum/Sonchus oleraceus/Sorghum bicolor/Spondias mombin/Stachytarpheta jamaicensis/Sterculia apetala/Strychnos nux-vomica/Swertia chirayta/Syzygium aromaticum/Syzygium cumini/Tagetes minuta/Tagetes patla/Tagetes pusilla/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Taxus baccta/Terminalia chebula/Tetradenia riparia/Tetradium ruticarpum/Tetragonia tetragonoides/Thymus serpyllum/Tilia spp./Tinospora cordifolia/Trachyspermum ammi/Tribulus terrestris/Tropaeolum majus/Turnera ulmifolia/Valeriana jatamansi/Veronica officinalis/Vetiveria zizanioides/Vicia faba/Vitis vinifera/Zanthoxylum armatum/Zanthoxylum clava-herculis/Zanthoxylum spp./Zea mays/Zingiber officinale/Ziziphus jujuba/Ziziphus mauritiana/Ziziphus spina-christi
Thromboxane synthetase inhibitor	Zingiber officinale
Thumb sucking	Capsicum spp.
Thymoleptic	Avena sativa/Cola spp./Ilex paraguariensis/Panax ginseng/Rosmarinus officinalis/Turnera diffusa/Valeriana officinalis/Verbena officinalis
Sialagogue	Acacia catechu/Achillea ptarmica/Aconitum napellus/Acorus calamus/Alpinia officinarum/Anacyclus pyrethrum/Anamirta cocculus/Aralia spinosa/Areca catechu/Armoracia rusticana/Artemisia absinthium/Aspidosperma quebracho-blanco/Averrhoa carambola/Capsicum frutescens/Carapichea ipecacuanha/Celastrus paniculatus/Centaurium erythraea/Cetraria islandica/Cicuta virosa/Cinchona officinalis/Cinchona pubescens/Cinnamomum verum/Cnicus benedictus/Dichroa febrifuga/Echinacea spp./Erythrophleum suaveolens/Espeletia schultzii/Eucalyptus globulus/Euonymus atropurpureus/Euphorbia resinifera/Galanthus nivalis/Galium odoratum/Glycyrrhiza glabra/Gymnema sylvestre/Hagenia abyssinica/Helleborus viridis/Hydrangea arborescens/Hydrastis canadensis/Iris versicolor/Juniperus Communis/Leucojum aestivum/Leucojum vernum/Levisticum officinale/Lippia alba/Lobelia inflata/Lupinus luteus/Maclura tinctoria/Marrubium vulgare/Marsdenia cundurango/Maytenus ilicifolia/Menyanthes trifoliata/Mirabilis jalapa/Morella cerifera/Myrica gale/Narcissus tazetta/Nicotiana tabacum/Panax ginseng/Pausinystalia johimbe/Pedilanthus tithymaloides/Peganum harmala/Peumus boldus/Picrama excelsa/Picrasma excelsa/Pilocarpus spp/Pilocarpus spp./Piper betle/Piper longum/Piper nigrum/Piscidia piscipula/Platycodon grandiflorum/Plectranthus barbatus/Plumbago Zeylanica/Podophyllum peltatum/Psychotria ipecacuanha/Quassia amara/Ranunculus sceleratus/Rehmannia glutinosa/Solanum melongena/Sorbus aucuparia/Stillingia sylvatica/Swertia japonica/Symplocarpus foetidus/Taraxacum officinale/Trachyspermum ammi/Trichosanthes kirilowii/Trillium erectum/Verbena officinalis/Xanthium spinosum/Xanthium strumarium/Zanthoxylum clava-herculis/Zanthoxylum spp./Zingiber officinale/Ziziphus jujuba
Sialagogue potentiator	Schisandra chinensis
Sialogogue	Acmella oleracea/Acmella oppositifolia/Aspidosperma quebracho-blanco/Blainvillea acmella/Bocconia frutescens/Bridens pilosa/Capsicum spp.
Sickle cell anemia	Vanilla planifolia
Sinusosis	Allium cepa/Allium sativum/Armoracia rusticana/Cinnamomum verum/Commiphora myrrhea/Lindera benzoin/Myrtus communis/Piper nigrum/Wasabia japonica
Smallpox	Aframomum sceptrum/Costus speciosus/Curcuma longa/Myrtus communis/Nigella sativa/Sesamum indicum/Tamarindus indica/Trigonella foenum-graecum
Snake repellent	Dysphania ambrosioides
Snakebite	Aframomum melegueta/Allium sativum/Amomum aromaticum/Amomum subulatum/Bixa orellana/Capsicum spp./Costus speciosus/Crocus sativus/Cunila origanoides/Dipteryx odorata/Elettaria cardamomum/Eryngium foetidum/Ferula assa-foetida/Glycyrrhiza glabra/Juniperus Communis/Moringa oleifera/Murraya koenigii/Nigella sativa/Persea americana/Phyllanthus niruri/Piper nigrum/Sesamum indicum/Tamarindus indica/Theobroma cacao/Zingiber officinale
Sniffle	Gaultheria procumbens/Nigella sativa
Soap	Fevillea cordifolia
Soporific	Agava sisalana/Anethum graveolens/Annona muricata/Annona squamosa/Cajanus cajan/Cannabis sativa/Cicer arietinum/Cypripedium spp./Dioscorea dregeana/Eschscholzia californica/Humulus lupulus/Hyoscyamus niger/Lactuca virosa/Lawsonia inermis/Lemna minor/Myristica fragrans/Nepeta cataria/Passiflora incarnata/Passiflora quadrangularis/Peganum harmala/Piscidia piscipula/Spigelia anthelmia/Spigelia marilandica/Tetradenia riparia
Sore	Aframomum melegueta/Allium cepa/Allium sativum/Apium graveolens/Armoracia rusticana/Bixa orellana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Cinnamomum aromaticum/Cocos nucifera/Commiphora myrrhea/Curcuma longa/Dipteryx odorata/Glycyrrhiza glabra/Juniperus Communis/Laurus nobilis/Moringa oleifera/Myrtus communis/Osmorhiza spp./Pistacia lentiscus/Prunus dulcis/Rhus coriaria/Sassafras albidum/Schinus terebinthifolius/Sesamum indicum/Syzygium aromaticum/Tamarindus indica/Trigonella foenum-graecum
Sore Throat	Allium cepa/Allium sativum/Alpinia officinarum/Armoracia rusticana/Bixa orellana/Capsicum spp./Cocos nucifera/Commiphora myrrhea/Crocus sativus/Curcuma longa/Curcuma zedoaria/Dipteryx odorata/Ferula assa-foetida/Gaultheria procumbens/Glycyrrhiza glabra/Juniperus Communis/Kaempferia galanga/Moringa oleifera/Osmorhiza spp./Persea americana/Pimenta recemosa/Piper nigrum/Prunus dulcis/Sassafras albidum/Sesamum indicum/Syzygium aromaticum/Tamarindus indica/Trigonella foenum-graecum/Zingiber officinale
Sore throat splenomegaly	C. calisaya/C. officinalis/C. pubescens
Spamogenic	Piper auritum
Sparmatogenic	Lepidium meyenii
Spasm	Crocus sativus/Dipteryx odorata/Ferula assa-foetida/Illicium verum/Laurus nobilis/Lindera benzoin/Moringa oleifera/Pimenta recemosa/Syzygium aromaticum
Spasmogenic	Actaea pachypoda/Alchornea floribunda/Anamirta cocculus/Annona muricata/Annona squamosa/Areca catechu/Argemone mexicana/Bacopa monnieri/Bixa orellana/Bryophyllum pinnatum/Byrsonima crassifolia/Caulophyllum thalictroides/Chromolaena odorata/Coriaria ruscifolia/Dicentra canadensis/Dicentra cucullaria/Dionaea muscipula/Dysphania ambrosioides/Erythrophleum suaveolens/Heracleum sphondylium/Jatropha curcas/Mimosa pudica/Moringa oleifera/Mucuna pruriens/Myrciaria dubia/Neriu oleander/Nicotiana glauca/Physostigma venenosum/Piper auritum/Pluchea carolinensis/Rosmarinus officinalis/Stachytarpheta jamaicensis/Thuja occidentalis/Tilia spp./Trachyspermum ammi/Turnera ulmifolia
Spermatogenic	Epimedium spp./Leonurus japonicus/Lepidium meyenii/Mucuna pruriens/Panax ginseng/Passiflora incarnata/Persea americana/Schisandra chinensis/Thespesia populnea
Spermatorrhea	Boswellia sacra/Elettaria cardamomum/Myristica fragrans/Trigonella foenum-graecum
Spermicide	Allium sativum/Anagallis arvensis/Asparagus officinalis/Azadirachta indica/Calendula officinalis/Caltha palustris/Centella asiatica/Enterolobium cyclocarpum/Lantana camara/Morella cerifera/Quillaja saponaria/Ricinus communis/Saponaria officinalis/Solidago virgaurea/Trigonella foenum-graecum
Spinodepressant	Banisteriopsis caapi
Spinostimulant	Papaver somniferum/Selenicereus grandiflorus/Strychnos nux-vomica
Splenomegaly	Capparis spinosa/Moringa oleifera/Trigonella foenum-graecum
Splenosis	Allium cepa/Allium sativum/Apium graveolens/Armoracia rusticana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Capparis spinosa/Cinnamomum aromaticum/Crocus sativus/Curcuma zedoaria/Elettaria cardamomum/Ferula assa-foetida/Glycyrrhiza glabra/Juniperus Communis/Moringa oleifera/Myristica fragrans/Myrtus communis/Nigella sativa/Piper nigrum/Prunus dulcis/Sesamum indicum/Tamarindus indica/Trigonella foenum-graecum/Zingiber officinale
Splenotonic	Atractylodes japonica/Atractylodes lancea/Ceanothus americanus/Codonopsis spp./Eleutherococcus senticosus/Polygonum multiflorum/Ziziphus jujuba
Sporicide	Annona glabra
Sprain	Capsicum spp./Curcuma longa/Curcuma zedoaria/Gaultheria procumbens/Juniperus Communis/Laurus nobilis/Myristica fragrans/Persea americana/Sassafras albidum
Sprue	Ceratonia siliqua
Staminagenic	Withania somnifera
Steatorrhea	Ceratonia siliqua
Thrombolytic	Bridens pilosa/Ginko biloba/Paullinia cupana
Thrombopietic	Justicia adhatoda
Stomatosis	Allium cepa/Alpinia officinarum/Amomum aromaticum/Amomum subulatum/Armoracia rusticana/Bixa orellana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Carum carvi/Commiphora myrrhea/Costus speciosus/Dipteryx odorata/Elettaria cardamomum/Gaultheria procumbens/Glycyrrhiza glabra/Laurus nobilis/Moringa oleifera/Myristica fragrans/Nigella sativa/Pimenta dioica/Prunus dulcis/Syzygium aromaticum/Tamarindus indica/Trigonella foenum-graecum/Zingiber officinale
Strangury	Allium cepa/Elettaria cardamomum/Glycyrrhiza glabra/Hibiscus sabdariffa/Juniperus Communis/Sesamum indicum
Stress	Apium graveolens/Cinnamomum verum/Ilex paraguariensis/Trigonella foenum-graecum
Stroke	Allium sativum/Capsicum spp./Curcuma longa/Gaultheria procumbens/Pimenta recemosa/Zingiber officinale
Stupefacient	Brugmansia arborea
Styptic	Cissampelos pareira/Dodonaea viscosa/Geum urbanum/Krameria lappacea/Piper aduncum/Schkuhria pinnata
Succinate dehydrogenase inhibitor	Stevia rebaudina
Succinate oxygenase inhibitor	Stevia rebaudiana
Sucrase promoter	Capsicum spp.
Sudorific	Acanthospermum hispidum/Achyrocline satureioides/Adiantum capillus-veneris/Adiantum tenerum/Aloysia citriodora/Argemone mexicana/Aristolochia triangularis/Aristolochia trilobata/Ayapana triplinervis/Boerhavia diffusa/Bruddleja americana/Bulnesia sarmientoi/Bursera graveolens/Bursera simaruba/Caesalpinia pulcherrima/Calophyllum brasiliense/Canna indica/Capraria biflora/Conyza canadensis/Culcitium canescens/Cyperus odoratus/Dioscorea spp./Diphysa americana/Dodonaea viscosa/Drimys winteri/Dysphania ambrosioides/Eryngium foetidum/Erythrina fusca/Guariacum officinale/Guariacum Sanctum/Guazuma ulmifolia/Heimia salicifolia/Hypochaeris sessiliflora/Hyptis capitata/Hyptis mutabilis/Ilex paraguariensis/Indigofera suffruticosa/Justicia pectoralis/Lantana camara/Lippia alba/Luffa operculata/Melissa officinalis/Mentha pulegium/Mimosa pudica/Morella cerifera/Parkinsonia aculeata/Petiveria alliacea/Phyla dulcis/Piper auritum/Piper peltatum/Piscidia piscipula/Plumeria rubra/Pseudognaphalium viravira/Sambucus peruviana/Senecio formosus/Senna occidentalis/Simarouba glauca/Smilax aristolochiifolia/Solanum mammosum/Solanum torvum/Spondias purpurea/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Tabebuia rosea/Tabernaemontana sananho/Tagetes patla/Tagetes pusilla/Talipariti tiliaceum/Tecoma stans/Thespesia populnea/Tillandsia usneoides/Xanthium spinosum/Xanthium strumarium
Sunburn	Glycyrrhiza glabra
Sunscreen	Aloe vera/Cichorium endivia/Elaeis guineensis/Frangula alnus/Frangula purshiana/Hamamelis virginiana/Lawsonia inermis/Phlebodium aureum/Pinus pinaster/Silybum marianum/Vitis vinifera
Sunstroke	Allium cepa/C. calisaya/C. officinalis/C. pubescens/Tamarindus indica
Suppurative	Althaea officinalis/Ananas comosus/Annona muricata/Annona squamosa/Cocos nucifera/Crescentia cujete/Geranium robertianum/Gliricidia sepium/Larix laricina/Linum usitatissimum/Liquidambar orientalis/Mammea americana/Melaleuca leucadendra/Mirabilis jalapa/Nymphaea odorata/Sambucus peruviana/Sida acuta/Symplocarpus foetidus/Trichosanthes kirilowii
Sweetener	Acanthospermum hispidum/Stevia rebaudiana/Stevia rebaudina
Swelling	Achillea millefolium/Allium cepa/Allium sativum/Alpinia officinarum/Apium graveolens/Armoracia rusticana/Boswellia sacra/Capsicum spp./Cnicus benedictus/Cocos nucifera/Commiphora myrrhea/Costus speciosus/Crocus sativus/Curcuma longa/Eryngium foetidum/Gaultheria procumbens/Glycyrrhiza glabra/Gochnatia polymorpha/Hibiscus sabdariffa/Juniperus Communis/Kaempferia galanga/Lindera benzoin/Moringa oleifera/Nigella sativa/Piper nigrum/Prunus dulcis/Salvia miltiorrhiza/Sassafras albidum/Schinus terebinthifolius/Sesamum indicum/Tamarindus indica/Tanacetum vulgare/Trigonella foenum-graecum/Zingiber officinale
Symapathomimetic	Viscum album
Sympathicolytic	Corynanthe pachycera/Orthosiphon aristatus/Pausinystalia johimbe/Rauvolfia sepentina/Vinca minor
Sympathicomimetic	Lophophora williamsii
Sympathomimetic	Aegle marmelos/Cannabis sativa/Catha edulis/Cytisus scoparius/Echinopsis pachanoi/Ephedra spp./Lophophora williamsii/Moringa oleifera/Scoparia dulcis/Toxicodendron succedaneum
Symphathicolytic	Silybum marianum
Syncope	Allium cepa/Allium sativum/Alpinia officinarum/Annona squamosa/Cinnamomum verum/Eryngium foetidum/Moringa oleifera/Zingiber officinale
Syndrome X	Trigonella foenum-graecum
Synergist	Capsicum frutescens/Capsicum spp.
Syphilis	Boswellia sacra/Cocos nucifera/Costus speciosus/Curcuma longa/Lindera benzoin/Moringa oleifera/Nigella sativa/Peumus boldus/Sassafras albidum/Schinus terebinthifolius/Sesamum indicum/Tamarindus indica/Trigonella foenum-graecum
Tachycardia	C. calisaya/C. officinalis/C. pubescens/Capsicum spp.
Tachycardic	Argemone mexicana/Carapichea ipecacuanha/Cytisus scoparius/Espeletia schultzii/Mucuna pruriens/Psychotria ipecacuanha/Tagetes lucida/Taxus baccta/Taxus sp.
Taeniacide	Acacia nilotica/Anagallis arvensis/Ananas comosus/Andira araroba/Asclepias incarnata/Athyrium filix-femina/Ayapana triplinervis/Carica papaya/Cucumis melo/Cucurbita pepo/Dryopteris filix-mas/Hagenia abyssinica/Ipomoea hederacea/Lagenaria siceraria/Mallotus philippensis/Mucuna rostrata/Nardostachys grandiflora/Nigella sativa/Phytolacca americana/Piper nigrum/Punica granatum/Spondias mombin
Teething	Syzygium aromaticum
Telepathic	Banisteriopsis caapi/Salvia divinorum
Tendinitis	Schinus terebinthifolius
Tenesmus	Allium cepa/Juniperus Communis
Tennis elbow	Capsicum spp.
Tension	Capsicum spp./Cinnamomum verum
Teratogen	Sida cordifolia
Teratogenic	Abrus precatorius/Anemore pulsatilla/Artemisia annua/Cannabis sativa/Carica papaya/Carthamus tinctorius/Catharanthus roseus/Cinchona officinalis/Cinchona pubescens/Cinnamomum verum/Coffea arabica/Cola spp./Conium maculatum/Genista tinctoria/Gloriosa superba/Ipomoea hederacea/Maytenus ilicifolia/Momordica charantia/Petasites hybridus/Pilocarpus spp/Pilocarpus spp./Rauvolfia sepentina
Teratologic	Acacia nilotica/Mucuna pruriens
Termiticide	Argemone mexicana/Isatis tinctoria/Sarcostermma acidum/Tabebuia spp.
Testicular atrophy	Serenoa repens
Testosterogenic	Hebanthe eriantha/Mucuna pruriens
Testosteronigenic	Jatropha macrantha/Panax ginseng
Tetanus	Glycyrrhiza glabra/Moringa oleifera/Strychnos nux-vomica
Thermogenic	Camellia sinensis/Capsicum frutescens/Capsicum spp./Citrus reticulata/Ephedra spp./Ilex paraguariensis/Paullinia cupana/Theobroma cacao/Turnera diffusa/Zingiber officinale
Thirst	Allium sativum/Costus speciosus/Glycyrrhiza glabra/Murraya koenigii/Zingiber officinale
Thrombocytosis	Zingiber officinale
Thrombogenic	Inula helenium
Thyrosis	Capsicum spp./Theobroma cacao
Thyrotropic	Commiphora wightii/Plectranthus barbatus/Thymus serpyllum
Tinea	Piper nigrum
Tineacide	Sanguisorba officinalis/Viola tricolor
Tinnitus	Allium cepa/Sesamum indicum
TNF inhibitor	Curcuma longa/Dichroa febrifuga/Phlebodium aureum/Uncaria tomentosa
TNF-genic	Echinacea spp./Plantago major/Platycodon grandiflorum
TNFalpha inhibitor	Caesalpinia pulcherrima/Carapa guianensis/Cayaponia tayuya/Pimenta rece/Theobroma cacao/Xanthium strumarium
